issue,draw_date,sales_amount,one,two,three
2004207,2004-08-01,0,1,5,9
2004206,2004-07-31,0,5,6,7
2004205,2004-07-30,0,6,6,2
2004204,2004-07-29,0,0,1,4
2004203,2004-07-28,0,7,0,7
2004202,2004-07-27,0,7,3,6
2004201,2004-07-26,0,8,8,4
2004200,2004-07-25,0,1,6,9
2004199,2004-07-24,0,3,1,4
2004198,2004-07-23,0,5,8,9
2004197,2004-07-22,0,6,3,3
2004196,2004-07-21,0,7,1,3
2004195,2004-07-20,0,4,5,2
2004194,2004-07-19,0,9,8,8
2004193,2004-07-18,0,6,6,8
2004192,2004-07-17,0,8,3,4
2004191,2004-07-16,0,0,0,4
2004190,2004-07-15,0,2,7,6
2004189,2004-07-14,0,9,5,9
2004188,2004-07-13,0,6,2,6
2004187,2004-07-12,0,0,3,9
2004186,2004-07-11,0,5,4,9
2004185,2004-07-10,0,1,3,4
2004184,2004-07-09,0,6,5,4
2004183,2004-07-08,0,8,3,1
2004182,2004-07-07,0,1,9,0
2004181,2004-07-06,0,8,7,6
2004180,2004-07-05,0,7,4,3
2004179,2004-07-04,0,6,9,1
2004178,2004-07-03,0,5,2,9
2004177,2004-07-02,0,8,4,5
2004176,2004-07-01,0,4,8,8
2004175,2004-06-30,0,8,1,6
2004174,2004-06-29,0,6,6,6
2004173,2004-06-28,0,2,8,2
2004172,2004-06-27,0,5,4,9
2004171,2004-06-26,0,9,8,6
2004170,2004-06-25,0,7,8,7
2004169,2004-06-24,0,2,6,2
2004168,2004-06-23,0,8,9,5
2004167,2004-06-22,0,2,1,5
2004166,2004-06-21,0,6,4,4
2004165,2004-06-20,0,9,3,8
2004164,2004-06-19,0,2,4,8
2004163,2004-06-18,0,5,0,9
2004162,2004-06-17,0,7,9,9
2004161,2004-06-16,0,8,3,4
2004160,2004-06-15,0,1,8,5
2004159,2004-06-14,0,0,6,4
2004158,2004-06-13,0,5,2,9
2004157,2004-06-12,0,6,6,1
2004156,2004-06-11,0,2,8,6
2004155,2004-06-10,0,7,7,2
